Bill Number,Position,Title,Last Action,Action Date,Notes,LegiScan Link
HB1107,,SCH CD-BIAS & SUPPORT TRAINING,Rule 19(a) / Re-referred to Rules Committee,2025-03-21,,https://legiscan.com/IL/bill/HB1107/2025
HB1442,,ELEC CD-CURBSIDE VOTING,House Committee Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee,2026-03-27,,https://legiscan.com/IL/bill/HB1442/2025
HB1448,,INS-BEHAVIORIAL HEALTH,Rule 19(a) / Re-referred to Rules Committee,2025-03-21,,https://legiscan.com/IL/bill/HB1448/2025
HB1783,,ST BD ED-LANGUAGE ASSESSMENT,"Chief Co-Sponsor Changed to Rep. Edgar González, Jr.",2026-03-20,,https://legiscan.com/IL/bill/HB1783/2025
HB2707,,EDUCATION-DISABILITY PARKING,Rule 19(a) / Re-referred to Rules Committee,2025-04-11,,https://legiscan.com/IL/bill/HB2707/2025
HB3111,,SCH CD-SPECIAL ED-IEP MEETINGS,Rule 19(a) / Re-referred to Rules Committee,2025-03-21,,https://legiscan.com/IL/bill/HB3111/2025
HB3198,,SCH CD-DISABILITY HISTORY,Referred to Rules Committee,2025-02-18,,https://legiscan.com/IL/bill/HB3198/2025
HB3376,,SCH CD-SPECIAL ED-IEP-GUIDANCE,House Floor Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee,2025-04-11,,https://legiscan.com/IL/bill/HB3376/2025
HB3527,,PROHIBITED DISABILITY MASCOTS,Alternate Chief Sponsor Changed to Sen. Graciela Guzmán,2026-02-05,,https://legiscan.com/IL/bill/HB3527/2025
HB3772,,SCH CD-SUSPENSION/EXPULSION,Senate Floor Amendment No. 4 Motion to Concur Recommends Be Adopted Rules Committee; 003-002-000,2026-02-19,,https://legiscan.com/IL/bill/HB3772/2025
HB4068,,SCH CD-ACCOMODATIONS-TIMELINE,Placed on Calendar 2nd Reading - Short Debate,2026-03-20,,https://legiscan.com/IL/bill/HB4068/2025
HB4179,support,$DHS-DIGNITY IN PAY GRANTS,Added Co-Sponsor Rep. Dan Ugaste,2026-03-31,The Arc,https://legiscan.com/IL/bill/HB4179/2025
HB4339,,SCH CD-HIGH SCH-REGISTER VOTER,Placed on Calendar 2nd Reading - Short Debate,2026-03-19,,https://legiscan.com/IL/bill/HB4339/2025
HB4406,,SCH CD-DYSLEXIA SCREENING,Referred to Rules Committee,2026-01-14,,https://legiscan.com/IL/bill/HB4406/2025
HB4581,support,SCH CD-SPEC ED TRANSITION PLAN,Placed on Calendar 2nd Reading - Short Debate,2026-02-25,Mussman bill that Phil is supporting,https://legiscan.com/IL/bill/HB4581/2025
HB4613,,ELEC CD-BALLOT READABILITY,Rule 19(a) / Re-referred to Rules Committee,2026-03-27,,https://legiscan.com/IL/bill/HB4613/2025
HB4861,monitor,EARLY CHILDHOOD-DUE PROCESS,Rule 19(a) / Re-referred to Rules Committee,2026-03-27,This is a start early bill. extend the time to call due process,https://legiscan.com/IL/bill/HB4861/2025
HB5019,support,TNC-SCHOOL TNC SERVICES,Rule 19(a) / Re-referred to Rules Committee,2026-03-27,HopSkipDrive Bill,https://legiscan.com/IL/bill/HB5019/2025
HB5225,monitor,AUTISM SPECTRUM-DIAGNOSIS,Placed on Calendar 2nd Reading - Short Debate,2026-03-25,This is a Start early bill. Reducing the wait for medical diagnostics for Autism,https://legiscan.com/IL/bill/HB5225/2025
HB5398,,SCH CD-DISABLE HISTORY/AWARE,Referred to Rules Committee,2026-02-10,,https://legiscan.com/IL/bill/HB5398/2025
HB5488,,SCH CD-504 IMPARTIAL HEARINGS,Placed on Calendar 2nd Reading - Short Debate,2026-03-25,,https://legiscan.com/IL/bill/HB5488/2025
SB1464,,ELEC CD-REMOTE ACCESS VOTE,Rule 3-9(a) / Re-referred to Assignments,2025-06-02,,https://legiscan.com/IL/bill/SB1464/2025
SB1943,,SCH CD-TIME OUT,Rule 3-9(a) / Re-referred to Assignments,2025-04-11,,https://legiscan.com/IL/bill/SB1943/2025
SB2991,oppose,SCH-SUSPEND/EXPEL-SEX ASSAULT,"Rule 2-10 Committee Deadline Established As April 24, 2026",2026-03-27,expulsion bill for sexual assault.,https://legiscan.com/IL/bill/SB2991/2025
SB3170,,VOTING RIGHTS ACT OF 2026,Added as Co-Sponsor Sen. Laura M. Murphy,2026-03-04,,https://legiscan.com/IL/bill/SB3170/2025
SB3568,,DISABILITY-DECISION MAKING,"Placed on Calendar Order of 3rd Reading April 14, 2026",2026-03-26,,https://legiscan.com/IL/bill/SB3568/2025
SB3776,,EDUCATION CHOICE FOR CHILD ACT,Added as Chief Co-Sponsor Sen. Chris Balkema,2026-03-11,,https://legiscan.com/IL/bill/SB3776/2025
SB3966,,PROHIBIT FED VOUCHER PROGRAM,Added as Co-Sponsor Sen. Mike Simmons,2026-03-04,,https://legiscan.com/IL/bill/SB3966/2025
